#Arquivo Dados/ColetaChamadaReal60.txt 
#Parâmetros(Ocupação: 60.00%, Capacidade: 588000.000 bps)
#Coleta|Ocupação|E(n)|E(w)|lambda|Little

100 0.00000 0.00000 -nan 0.00000 -nan
29000 10.31904 23.92182 738.79940 0.03238 0.00000000000018118840
29100 10.33795 23.88326 739.36484 0.03230 0.00000000000016697754
29200 10.43038 23.82548 739.32429 0.03223 0.00000000000020961011
29300 10.39478 23.77242 737.07069 0.03225 0.00000000000020605739
29400 10.35942 23.73653 736.13279 0.03224 0.00000000000021671553
29500 10.40562 23.70927 735.46092 0.03224 0.00000000000020250468
29600 10.37047 23.69008 734.26849 0.03226 0.00000000000019184654
29700 10.33555 23.68089 734.92430 0.03222 0.00000000000017053026
29800 10.35025 23.67492 735.67524 0.03218 0.00000000000015631940
29900 10.40584 23.64732 731.94077 0.03231 0.00000000000029842795
30000 10.37115 23.58315 730.12864 0.03230 0.00000000000025934810
30100 10.33670 23.52474 730.74783 0.03219 0.00000000000026290081
30200 10.34003 23.46630 730.60017 0.03212 0.00000000000027000624
30300 10.33232 23.39579 729.31322 0.03208 0.00000000000035171865
30400 10.35035 23.32744 726.59236 0.03211 0.00000000000029842795
30500 10.33721 23.26357 726.98642 0.03200 0.00000000000027355895
30600 10.34333 23.19229 724.90708 0.03199 0.00000000000023803182
30700 10.39195 23.12358 722.90607 0.03199 0.00000000000026645353
30800 10.35821 23.05702 720.23954 0.03201 0.00000000000023803182
30900 10.34824 22.99860 718.56076 0.03201 0.00000000000024513724
31000 10.34398 22.94199 715.49460 0.03206 0.00000000000024158453
31100 10.47423 22.88797 711.81576 0.03215 0.00000000000028421709
31200 10.44066 22.84527 709.93260 0.03218 0.00000000000031619152
31300 10.40730 22.80819 710.34455 0.03211 0.00000000000033750780
31400 10.37416 22.78038 707.52130 0.03220 0.00000000000035882408
31500 10.35689 22.77454 705.40619 0.03229 0.00000000000035171865
31600 10.36329 22.76664 707.40000 0.03218 0.00000000000034106051
31700 10.35672 22.75769 705.88935 0.03224 0.00000000000031263880
31800 10.35764 22.75541 706.66211 0.03220 0.00000000000037303494
31900 10.36289 22.75078 708.04863 0.03213 0.00000000000037658765
32000 10.36341 22.73402 707.67390 0.03213 0.00000000000039435122
32100 10.38935 22.68728 704.31508 0.03221 0.00000000000047251092
32200 10.42099 22.65391 702.75139 0.03224 0.00000000000045830006
32300 10.38872 22.63207 700.87807 0.03229 0.00000000000057198690
32400 10.37305 22.61931 699.29922 0.03235 0.00000000000066080474
32500 10.40159 22.62228 697.55619 0.03243 0.00000000000076383344
32600 10.37699 22.63723 698.17753 0.03242 0.00000000000089528385
32700 10.37197 22.64863 699.34862 0.03239 0.00000000000093791641
32800 10.38494 22.59643 698.55135 0.03235 0.00000000000082067686
32900 10.38393 22.53768 696.23432 0.03237 0.00000000000090594199
33000 10.38211 22.47622 695.79291 0.03230 0.00000000000084909857
33100 10.37524 22.41639 693.44147 0.03233 0.00000000000082067686
33200 10.43755 22.35664 689.17404 0.03244 0.00000000000037303494
33300 10.40620 22.29814 688.80159 0.03237 0.00000000000034461323
33400 10.38863 22.24288 688.51905 0.03231 0.00000000000039079850
33500 10.39277 22.18699 686.30124 0.03233 0.00000000000048316906
33600 10.38511 22.13612 685.50571 0.03229 0.00000000000052224891
33700 10.40944 22.08653 684.11405 0.03228 0.00000000000043698378
33800 10.38911 22.04504 683.59851 0.03225 0.00000000000033395509
33900 10.39480 22.00309 681.81417 0.03227 0.00000000000029487524
34000 10.41122 21.96929 680.90772 0.03226 0.00000000000018118840
34100 10.39472 21.94750 678.52199 0.03235 0.00000000000005684342
34200 10.44506 21.92902 679.32288 0.03228 0.00000000000010658141
34300 10.41461 21.91125 678.91223 0.03227 0.00000000000001776357
34400 10.40910 21.90682 677.08420 0.03235 -0.00000000000006039613
34500 10.39285 21.91055 678.55830 0.03229 -0.00000000000008171241
